Date,Mild,SARS,Positive,UnderObs.,Recovered,Deaths,Masc.,Fem.
25_NOVEMBRO_2021,27406,867,9110,7,8956,147,4096,5014
23-NOVEMBRO-2021,27302,863,9086,6,8933,147,4088,4998
18-NOVEMBRO-2021,27283,863,9086,6,8933,147,4088,4998
09-NOVEMBRO-2021,26695,857,8995,5,8843,147,4050,4945
04-NOVEMBRO-2021,26638,857,8995,6,8842,147,4050,4945
26-OUTUBRO-2021,26585,857,8928,5,8776,147,4020,4908
21-OUTUBRO-2021,26451,853,8902,2,8752,148,4008,4894
19-OUTUBRO-2021,26253,853,8873,2,8726,145,3996,4877
14-OUTUBRO-2021,26035,853,8853,4,8704,145,3986,4867
07-OUTUBRO-2021,25763,845,8740,2,8593,145,3932,4808
05-OUTUBRO-2021,25584,845,8726,2,8579,145,3927,4799
30-setembro-2021,25469,845,8664,2,8517,145,3901,4763
28-SET-2021,25251,839,8658,2,8511,145,3899,4759
23-SET-2021,24963,839,8588,2,8441,145,3870,4718
21-set-2021,24878,837,8573,2,8426,145,3864,4709
16-SETEMBRO-2021,24412,837,8505,5,8355,145,3842,4663
09-SETEMBRO-2021,23961,831,8455,4,8306,145,3821,4634
02-SETEMBRO-2021,23960,830,8454,4,8306,144,3820,4634
31-agosto-2021,23822,826,8425,4,8277,144,3812,4613
26-Agosto-2021,23691,825,8400,4,8252,144,3802,4598
24-agosto-2021,23517,820,8379,3,8232,144,3793,4586
19-agosto-2021,23403,820,8365,3,8218,144,3786,4579
17-Agosto-2021,23263,819,8353,3,8207,143,3780,4573
12-agosto-2021,23113,815,8334,3,8188,143,3772,4562
10-Agosto-2021,22797,815,8254,4,8107,143,3732,4522
05-agosto-2021,22684,814,8254,4,8107,143,3732,4522
03-agosto-2021,22169,812,8164,4,8017,143,3686,4478
02-agosto-2021,22169,812,8164,4,8017,143,3686,4478
01-AGOSTO-2021,22049,812,8072,2,7927,143,3638,4434
31-JULHO-2021,22049,812,8072,2,7927,143,3638,4434
30-JULHO-2021,22049,809,8072,2,7927,143,3638,4434
29-JULHO-2021,22049,809,8072,3,7927,142,3638,4434
28-JULHO-2021,22049,809,8072,3,7927,142,3638,4434
27-JULHO-2021,22023,806,8059,4,7921,134,3633,4426
26-JULHO-2021,21952,804,8041,3,7904,134,3628,4413
25-JULHO-2021,21952,804,8041,3,7904,134,3628,4413
24-JULHO-2021,21952,801,8041,3,7904,134,3628,4413
23-JULHO-2021,21829,801,7685,3,7550,132,3459,4226
22-JULHO-2021,21768,800,7685,3,7550,132,3459,4226
21-JULHO-2021,21665,798,7685,4,7550,131,3459,4226
20-JULHO-2021,21498,798,7603,5,7469,129,3418,4185
19-JULHO-2021,21407,796,7603,5,7469,129,3418,4185
18-JULHO-2021,21407,793,7603,6,7468,129,3418,4185
17-JULHO-2021,21407,792,7603,6,7468,129,3418,4185
16-JULHO-2021,21407,792,7603,6,7468,129,3418,4185
15-JULHO-2021,21407,792,7602,5,7468,129,3418,4184
14-JULHO-2021,21374,791,7602,6,7467,129,3418,4184
13-JULHO-2021,21305,791,7580,9,7442,129,3408,4172
12-JULHO-2021,21305,789,7580,9,7442,129,3408,4172
11-JULHO-2021,21270,789,7580,9,7442,129,3408,4172
10-JULHO-2021,21270,788,7580,9,7442,129,3408,4172
09-JULHO-2021,21270,787,7580,9,7442,129,3408,4172
08-JULHO-2021,21270,787,7580,9,7442,129,3408,4172
07-JULHO-2021,21216,787,7555,9,7417,129,3393,4162
06-JULHO-2021,21099,787,7555,9,7417,129,3393,4162
05-JULHO-2021,21074,784,7555,9,7417,129,3393,4162
04-JULHO-2021,21074,784,7555,9,7417,129,3393,4162
03-JULHO-2021,21074,784,7555,9,7417,129,3393,4162
02-JULHO-2021,21062,781,7553,11,7415,127,3391,4162
01-JULHO-2021,20985,781,7530,11,7392,127,3379,4151
30-JUNHO-2021,20897,781,7527,14,7388,125,3377,4150
29-JUNHO-2021,20798,776,7524,18,7381,125,3375,4149
28-JUNHO-2021,20798,776,7524,18,7381,125,3375,4149
27-JUNHO-2021,20798,776,7523,17,7381,125,3374,4149
26-JUNHO-2021,20798,775,7522,16,7381,125,3373,4149
25-JUNHO-2021,20798,773,7520,14,7381,125,3371,4149
24-JUNHO-2021,20706,773,7493,14,7354,125,3362,4131
23-JUNHO-2021,20606,770,7413,15,7273,125,3323,4090
21-JUNHO-2021,20161,764,7403,7,7251,125,3317,4086
20-JUNHO-2021,20140,764,7383,7,7251,125,3304,4079
19-JUNHO-2021,20140,762,7383,7,7251,125,3304,4079
18-JUNHO-2021,20140,762,7383,7,7251,125,3304,4079
17-JUNHO-2021,20081,762,7379,9,7245,125,3302,4077
16-JUNHO-2021,19972,760,7270,9,7138,123,3244,4026
15-JUNHO-2021,19972,759,7270,11,7138,121,3244,4026
14-JUNHO-2021,19812,759,7226,11,7097,118,3222,4004
13-JUNHO-2021,19615,755,7157,12,7028,117,3190,3967
12-JUNHO-2021,19615,755,7157,12,7028,117,3190,3967
11-JUNHO-2021,19615,755,7157,12,7028,117,3190,3967
10-JUNHO-2021,19615,754,7140,12,7011,117,3183,3957
09-JUNHO-2021,19465,750,7134,16,7003,115,3179,3955
08-JUNHO-2021,19237,750,7116,16,6985,115,3170,3946
07-JUNHO-2021,19194,744,7067,13,6939,115,3149,3918
06-JUNHO-2021,19081,741,7067,14,6939,114,3149,3918
05-JUNHO-2021,19081,741,7067,14,6939,114,3149,3918
04-JUNHO-2021,19081,738,7067,14,6939,114,3149,3918
03-JUNHO-2021,19082,734,7067,14,6939,114,3149,3918
02-JUNHO-2021,19082,734,7067,14,6939,114,3149,3918
01-JUNHO-2021,18844,733,7067,15,6939,113,3149,3918
31-MAIO-2021,18655,725,7045,15,6921,109,3137,3908
30-MAIO-2021,19772,725,7233,14,7111,109,3270,3963
29-MAIO-2021,19772,725,7233,14,7111,109,3270,3963
28-MAIO-2021,19772,725,7233,14,7111,109,3270,3963
27-MAIO-2021,19772,723,7233,14,7111,109,3270,3963
26-MAIO-2021,19772,720,7233,14,7111,109,3270,3963
25-MAIO-2021,19772,717,7233,15,7111,107,3270,3963
24-MAIO-2021,19772,716,7233,16,7111,106,3270,3963
23-MAIO-2021,19772,712,7233,16,7111,106,3270,3963
22-MAIO-2021,19772,707,7233,16,7111,106,3270,3963
21-MAIO-2021,19772,706,7233,16,7111,106,3270,3963
20-MAIO-2021,19772,706,7233,18,7109,106,3270,3963
19-MAIO-2021,19772,705,7202,20,7076,106,3256,3946
18MAIO-2021,19538,700,7150,23,7021,106,3236,3914
17MAIO-2021,19453,695,7115,23,6986,106,3217,3898
16MAIO-2021,19453,695,7070,19,6945,106,3196,3874
15-MAIO-2021,19453,693,7070,23,6941,106,3196,3874
14-MAIO-2021,19453,691,7070,24,6940,106,3196,3874
13-MAIO-2021,19192,688,7044,24,6914,106,3182,3862
12-MAIO-2021,19157,686,7031,24,6901,106,3178,3853
11-MAIO-2021,19097,683,7026,24,6896,106,3176,3850
10-MAIO-2021,19054,682,6978,25,6848,105,3151,3827
09-MAIO-2021,18824,680,6951,21,6810,105,3140,3811
08-MAIO-2021,18824,676,6951,21,6810,105,3140,3811
07-MAIO-2021,18824,675,6951,21,6810,105,3140,3811
06-MAIO-2021,18735,673,6951,21,6810,105,3140,3811
05MAIO-2021,18659,670,6934,21,6810,103,3136,3798
04-MAIO-2021,18575,667,6895,21,6772,102,3118,3777
03-MAIO-2021,18532,663,6883,18,6763,102,3112,3771
02-MAIO-2021,18270,660,6850,18,6731,101,3099,3751
01-MAIO-2021,18270,658,6850,18,6731,101,3099,3751
30-ABRIL-2021,18270,656,6850,17,6732,101,3099,3751
29-ABRIL-2021,18158,653,6724,17,6606,101,3046,3678
28-ABRIL-2021,17973,648,6579,19,6461,99,2984,3594
27-ABRIL-2021,17857,648,6555,19,6439,97,2971,3584
26-ABRIL-2021,17500,645,6477,18,6362,97,2928,3549
25-ABRIL-2021,17500,643,6477,18,6362,97,2928,3549
24-ABRIL-2021,17500,639,6477,20,6360,97,2928,3549
23-ABRIL-2021,17500,634,6477,23,6357,97,2928,3549
22-ABRIL-2021,17281,630,6470,16,6357,97,2925,3545
21-ABRIL-2021,17230,630,6403,21,6285,97,2903,3468
20-ABRIL-2021,17230,627,6403,21,6285,97,2903,3468
19-ABRIL-2021,17133,625,6340,17,6226,97,2872,3468
18-ABRIL-2021,16885,619,6334,19,6220,95,2870,3464
17-ABRIL-2021,16885,616,6334,19,6220,95,2870,3464
16-ABRIL-2021,16885,613,6333,18,6220,95,2870,3463
15-ABRIL-2021,16765,610,6313,20,6198,95,2861,3452
14-ABRIL-2021,16696,607,6244,19,6131,94,2831,3413
13-ABRIL-2021,16657,606,6081,12,5975,94,2754,3327
12-ABRIL-2021,16465,604,6081,12,5975,94,2754,3327
11-ABRIL-2021,16093,598,6027,12,5925,89,2726,3301
10-ABRIL-2021,16093,596,6027,12,5925,89,2726,3301
09-ABRIL-2021,16093,592,6027,12,5925,89,2726,3301
08-ABRIL-2021,16092,589,6025,13,5924,88,2725,3300
07-ABRIL-2021,16033,585,5990,14,5889,87,2705,3285
06-ABRIL-2021,15937,584,5990,14,5889,87,2705,3285
05-ABRIL-2021,15829,581,5957,15,5860,82,2685,3272
04-ABRIL-2021,15647,576,5917,15,5820,82,2670,3247
03-ABRIL-2021,15647,573,5917,15,5820,82,2670,3247
02-abril-2021,15647,569,5917,15,5820,82,2670,3247
01-ABRIL-2021,15647,567,5917,15,5820,82,2670,3247
31-MARCO-2021,15647,563,5917,15,5820,82,2670,3247
30-MARCO-2021,15540,562,5854,12,5760,82,2647,3207
29-MARCO-2021,15448,556,5809,12,5708,81,2624,3184
28-MARCO-2021,15252,549,5800,12,5708,80,2620,3180
27-MARCO-2021,15252,547,5800,12,5708,80,2620,3180
26-MARCO-2021,15252,545,5799,11,5708,80,2619,3180
