Datetime,Mild,SARS,Positive,UnderObs.,Recovered,Deaths,Masc.,Fem.
2020-08-12,2921,206,791,386,382,23,363,428
2020-08-13,2966,208,814,401,390,23,378,436
2020-08-14,3023,210,835,422,390,23,390,436
2020-08-15,3030,210,841,428,390,23,393,438
2020-08-16,3030,210,842,428,390,24,394,438
2020-08-19,3154,215,914,496,390,28,426,488
2020-08-20,3237,217,917,95,794,28,428,489
2020-08-24,3343,225,986,162,794,30,465,521
2020-08-25,3432,226,1016,156,830,30,483,533
2020-08-26,3436,228,1034,109,895,30,494,540
2020-08-27,3507,229,1046,121,895,30,503,543
2020-08-28,3546,230,1053,96,927,30,508,545
2020-08-31,3630,233,1088,44,1013,31,520,568
2020-09-01,3694,234,1099,55,1013,31,526,573
2020-09-02,3719,238,1102,58,1013,31,527,575
2020-09-03,3755,238,1119,50,1038,31,534,585
2020-09-04,3795,240,1120,51,1038,31,534,586
2020-09-08,3844,248,1146,77,1038,31,548,598
2020-09-09,3862,248,1159,89,1038,32,552,607
2020-09-10,3881,248,1171,56,1083,32,556,615
2020-09-11,3914,248,1175,60,1083,32,556,619
2020-09-15,3948,252,1199,84,1083,32,566,633
2020-09-16,3987,254,1217,102,1083,32,578,639
2020-09-17,4004,254,1217,103,1084,32,579,640
2020-09-18,4034,256,1221,105,1084,32,580,641
2020-09-21,4081,258,1253,137,1084,32,597,641
2020-09-22,4115,258,1308,192,1084,32,633,655
2020-09-23,4145,258,1321,96,1193,32,641,660
2020-09-24,4164,261,1326,101,1193,32,643,663
2020-09-25,4190,263,1335,108,1193,34,648,667
2020-09-28,4222,266,1373,14,1325,34,677,696
2020-09-29,4247,267,1386,23,1328,35,685,701
2020-09-30,4279,267,1399,36,1328,35,692,707
2020-10-02,4319,268,1428,46,1347,35,705,723
2020-10-05,4361,271,1461,53,1372,36,719,742
2020-10-06,4416,271,1466,17,1413,36,723,743
2020-10-07,4429,271,1468,19,1413,36,723,745
2020-10-08,4455,272,1474,25,1413,36,727,747
2020-10-09,4507,272,1474,25,1413,36,727,747
