datetime,mild,sars,positive,underobs,recovered,deaths,masc,fem,mild_s,sars_s,positive_s,underobs_s,recovered_s,deaths_s,masc_s,fem_s,mild_m,sars_m,positive_m,underobs_m,recovered_m,deaths_m,masc_m,fem_m
2020-08-12,2921,206,791,386,382,23,363,428,,,,,,,,,,,,,,,,
2020-08-13,2966,208,814,401,390,23,378,436,45.0,2.0,23.0,15.0,8.0,0.0,15.0,8.0,,,,,,,,
2020-08-14,3023,210,835,422,390,23,390,436,57.0,2.0,21.0,21.0,0.0,0.0,12.0,0.0,,,,,,,,
2020-08-15,3030,210,841,428,390,23,393,438,7.0,0.0,6.0,6.0,0.0,0.0,3.0,2.0,,,,,,,,
2020-08-16,3030,210,842,428,390,24,394,438,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,
2020-08-19,3154,215,914,496,390,28,426,488,124.0,5.0,72.0,68.0,0.0,4.0,32.0,50.0,,,,,,,,
2020-08-20,3237,217,917,95,794,28,428,489,83.0,2.0,3.0,-401.0,404.0,0.0,2.0,1.0,,,,,,,,
2020-08-24,3343,225,986,162,794,30,465,521,106.0,8.0,69.0,67.0,0.0,2.0,37.0,32.0,60.0,3.0,28.0,-32.0,59.0,1.0,15.0,13.0
2020-08-25,3432,226,1016,156,830,30,483,533,89.0,1.0,30.0,-6.0,36.0,0.0,18.0,12.0,67.0,3.0,29.0,-35.0,63.0,1.0,15.0,14.0
2020-08-26,3436,228,1034,109,895,30,494,540,4.0,2.0,18.0,-47.0,65.0,0.0,11.0,7.0,59.0,3.0,28.0,-45.0,72.0,1.0,15.0,15.0
2020-08-27,3507,229,1046,121,895,30,503,543,71.0,1.0,12.0,12.0,0.0,0.0,9.0,3.0,68.0,3.0,29.0,-44.0,72.0,1.0,16.0,15.0
2020-08-28,3546,230,1053,96,927,30,508,545,39.0,1.0,7.0,-25.0,32.0,0.0,5.0,2.0,74.0,3.0,30.0,-47.0,77.0,1.0,16.0,15.0
2020-08-31,3630,233,1088,44,1013,31,520,568,84.0,3.0,35.0,-52.0,86.0,1.0,12.0,23.0,68.0,3.0,25.0,-65.0,89.0,0.0,13.0,11.0
2020-09-01,3694,234,1099,55,1013,31,526,573,64.0,1.0,11.0,11.0,0.0,0.0,6.0,5.0,65.0,2.0,26.0,-6.0,31.0,0.0,14.0,12.0
