datetime,mild,sars,positive,underobs,recovered,deaths,masc,fem,mild_s,sars_s,positive_s,underobs_s,recovered_s,deaths_s,masc_s,fem_s,mild_m,sars_m,positive_m,underobs_m,recovered_m,deaths_m,masc_m,fem_m
2020-08-12,2921.0,206.0,791.0,386.0,382.0,23.0,363.0,428.0,,,,,,,,,,,,,,,,
2020-08-13,2966.0,208.0,814.0,401.0,390.0,23.0,378.0,436.0,45.0,2.0,23.0,15.0,8.0,0.0,15.0,8.0,,,,,,,,
2020-08-14,3023.0,210.0,835.0,422.0,390.0,23.0,390.0,436.0,57.0,2.0,21.0,21.0,0.0,0.0,12.0,0.0,,,,,,,,
2020-08-15,3030.0,210.0,841.0,428.0,390.0,23.0,393.0,438.0,7.0,0.0,6.0,6.0,0.0,0.0,3.0,2.0,,,,,,,,
2020-08-16,3030.0,210.0,842.0,428.0,390.0,24.0,394.0,438.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,
2020-08-17,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-18,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-19,3154.0,215.0,914.0,496.0,390.0,28.0,426.0,488.0,124.0,5.0,72.0,68.0,0.0,4.0,32.0,50.0,,,,,,,,
2020-08-20,3237.0,217.0,917.0,95.0,794.0,28.0,428.0,489.0,83.0,2.0,3.0,-401.0,404.0,0.0,2.0,1.0,,,,,,,,
2020-08-21,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-22,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-23,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-24,3343.0,225.0,986.0,162.0,794.0,30.0,465.0,521.0,106.0,8.0,69.0,67.0,0.0,2.0,37.0,32.0,60.0,3.0,28.0,-32.0,59.0,1.0,15.0,13.0
2020-08-25,3432.0,226.0,1016.0,156.0,830.0,30.0,483.0,533.0,89.0,1.0,30.0,-6.0,36.0,0.0,18.0,12.0,67.0,3.0,29.0,-35.0,63.0,1.0,15.0,14.0
2020-08-26,3436.0,228.0,1034.0,109.0,895.0,30.0,494.0,540.0,4.0,2.0,18.0,-47.0,65.0,0.0,11.0,7.0,59.0,3.0,28.0,-45.0,72.0,1.0,15.0,15.0
2020-08-27,3507.0,229.0,1046.0,121.0,895.0,30.0,503.0,543.0,71.0,1.0,12.0,12.0,0.0,0.0,9.0,3.0,68.0,3.0,29.0,-44.0,72.0,1.0,16.0,15.0
2020-08-28,3546.0,230.0,1053.0,96.0,927.0,30.0,508.0,545.0,39.0,1.0,7.0,-25.0,32.0,0.0,5.0,2.0,74.0,3.0,30.0,-47.0,77.0,1.0,16.0,15.0
2020-08-29,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-30,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-31,3630.0,233.0,1088.0,44.0,1013.0,31.0,520.0,568.0,84.0,3.0,35.0,-52.0,86.0,1.0,12.0,23.0,68.0,3.0,25.0,-65.0,89.0,0.0,13.0,11.0
2020-09-01,3694.0,234.0,1099.0,55.0,1013.0,31.0,526.0,573.0,64.0,1.0,11.0,11.0,0.0,0.0,6.0,5.0,65.0,2.0,26.0,-6.0,31.0,0.0,14.0,12.0
2020-09-02,3719.0,238.0,1102.0,58.0,1013.0,31.0,527.0,575.0,25.0,4.0,3.0,3.0,0.0,0.0,1.0,2.0,54.0,2.0,17.0,-15.0,31.0,0.0,9.0,8.0
2020-09-03,3755.0,238.0,1119.0,50.0,1038.0,31.0,534.0,585.0,36.0,0.0,17.0,-8.0,25.0,0.0,7.0,10.0,46.0,2.0,15.0,-15.0,30.0,0.0,7.0,7.0
2020-09-04,3795.0,240.0,1120.0,51.0,1038.0,31.0,534.0,586.0,40.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,51.0,2.0,12.0,-8.0,20.0,0.0,6.0,7.0
2020-09-05,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-06,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-07,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-08,3844.0,248.0,1146.0,77.0,1038.0,31.0,548.0,598.0,49.0,8.0,26.0,26.0,0.0,0.0,14.0,12.0,48.0,3.0,14.0,-6.0,20.0,0.0,6.0,8.0
2020-09-09,3862.0,248.0,1159.0,89.0,1038.0,32.0,552.0,607.0,18.0,0.0,13.0,12.0,0.0,1.0,4.0,9.0,45.0,3.0,15.0,-1.0,16.0,0.0,6.0,9.0
2020-09-10,3881.0,248.0,1171.0,56.0,1083.0,32.0,556.0,615.0,19.0,0.0,12.0,-33.0,45.0,0.0,4.0,8.0,36.0,2.0,12.0,2.0,10.0,0.0,5.0,7.0
2020-09-11,3914.0,248.0,1175.0,60.0,1083.0,32.0,556.0,619.0,33.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,31.0,2.0,11.0,1.0,10.0,0.0,4.0,7.0
2020-09-12,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-13,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-14,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-15,3948.0,252.0,1199.0,84.0,1083.0,32.0,566.0,633.0,34.0,4.0,24.0,24.0,0.0,0.0,10.0,14.0,33.0,2.0,14.0,4.0,10.0,0.0,6.0,8.0
2020-09-16,3987.0,254.0,1217.0,102.0,1083.0,32.0,578.0,639.0,39.0,2.0,18.0,18.0,0.0,0.0,12.0,6.0,33.0,2.0,14.0,7.0,6.0,0.0,6.0,8.0
2020-09-17,4004.0,254.0,1217.0,103.0,1084.0,32.0,579.0,640.0,17.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,30.0,2.0,14.0,7.0,7.0,0.0,6.0,8.0
2020-09-18,4034.0,256.0,1221.0,105.0,1084.0,32.0,580.0,641.0,30.0,2.0,4.0,2.0,0.0,0.0,1.0,1.0,27.0,1.0,11.0,4.0,7.0,0.0,5.0,6.0
2020-09-19,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-20,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-21,4081.0,258.0,1253.0,137.0,1084.0,32.0,597.0,641.0,47.0,2.0,32.0,32.0,0.0,0.0,17.0,0.0,31.0,1.0,13.0,7.0,7.0,0.0,6.0,5.0
2020-09-22,4115.0,258.0,1308.0,192.0,1084.0,32.0,633.0,655.0,34.0,0.0,55.0,55.0,0.0,0.0,36.0,14.0,33.0,1.0,20.0,19.0,0.0,0.0,11.0,6.0
2020-09-23,4145.0,258.0,1321.0,96.0,1193.0,32.0,641.0,660.0,30.0,0.0,13.0,-96.0,109.0,0.0,8.0,5.0,33.0,1.0,21.0,5.0,16.0,0.0,12.0,6.0
2020-09-24,4164.0,261.0,1326.0,101.0,1193.0,32.0,643.0,663.0,19.0,3.0,5.0,5.0,0.0,0.0,2.0,3.0,31.0,1.0,18.0,2.0,16.0,0.0,11.0,4.0
2020-09-25,4190.0,263.0,1335.0,108.0,1193.0,34.0,648.0,667.0,26.0,2.0,9.0,7.0,0.0,2.0,5.0,4.0,29.0,1.0,17.0,1.0,16.0,0.0,10.0,4.0
2020-09-26,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-27,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,4222.0,266.0,1373.0,14.0,1325.0,34.0,677.0,696.0,32.0,3.0,38.0,-94.0,132.0,0.0,29.0,29.0,31.0,2.0,22.0,-13.0,34.0,0.0,14.0,8.0
2020-09-29,4247.0,267.0,1386.0,23.0,1328.0,35.0,685.0,701.0,25.0,1.0,13.0,9.0,3.0,1.0,8.0,5.0,30.0,2.0,24.0,-12.0,35.0,0.0,15.0,9.0
2020-09-30,4279.0,267.0,1399.0,36.0,1328.0,35.0,692.0,707.0,32.0,0.0,13.0,13.0,0.0,0.0,7.0,6.0,28.0,1.0,21.0,-14.0,35.0,0.0,14.0,9.0
2020-10-01,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-02,4319.0,268.0,1428.0,46.0,1347.0,35.0,705.0,723.0,40.0,1.0,29.0,10.0,19.0,0.0,13.0,16.0,29.0,1.0,17.0,-21.0,38.0,0.0,10.0,10.0
2020-10-03,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,4361.0,271.0,1461.0,53.0,1372.0,36.0,719.0,742.0,42.0,3.0,33.0,7.0,25.0,1.0,14.0,19.0,31.0,2.0,20.0,-6.0,26.0,1.0,11.0,12.0
2020-10-06,4416.0,271.0,1466.0,17.0,1413.0,36.0,723.0,743.0,55.0,0.0,5.0,-36.0,41.0,0.0,4.0,1.0,36.0,1.0,20.0,-12.0,31.0,1.0,11.0,11.0
2020-10-07,4429.0,271.0,1468.0,19.0,1413.0,36.0,723.0,745.0,13.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,34.0,1.0,19.0,-13.0,31.0,0.0,11.0,11.0
2020-10-08,4455.0,272.0,1474.0,25.0,1413.0,36.0,727.0,747.0,26.0,1.0,6.0,6.0,0.0,0.0,4.0,2.0,33.0,1.0,14.0,2.0,13.0,0.0,7.0,7.0
2020-10-09,4507.0,272.0,1474.0,25.0,1413.0,36.0,727.0,747.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,13.0,0.0,12.0,0.0,6.0,7.0
2020-10-10,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-11,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-12,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-13,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-14,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-15,4573.0,277.0,1487.0,38.0,1413.0,36.0,732.0,755.0,66.0,5.0,13.0,13.0,0.0,0.0,5.0,8.0,42.0,1.0,13.0,0.0,12.0,0.0,6.0,7.0
2020-10-16,4663.0,277.0,1515.0,66.0,1413.0,36.0,747.0,768.0,90.0,0.0,28.0,28.0,0.0,0.0,15.0,13.0,49.0,1.0,12.0,3.0,9.0,0.0,6.0,6.0
2020-10-17,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-18,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-19,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-20,4733.0,281.0,1539.0,91.0,1413.0,36.0,758.0,781.0,70.0,4.0,24.0,25.0,0.0,0.0,11.0,13.0,53.0,1.0,11.0,5.0,6.0,0.0,6.0,6.0
2020-10-21,4774.0,283.0,1550.0,21.0,1493.0,36.0,765.0,785.0,41.0,2.0,11.0,-70.0,80.0,0.0,7.0,4.0,51.0,2.0,12.0,1.0,11.0,0.0,6.0,6.0
2020-10-22,4801.0,285.0,1569.0,33.0,1500.0,36.0,774.0,795.0,27.0,2.0,19.0,12.0,7.0,0.0,9.0,10.0,53.0,2.0,14.0,2.0,12.0,0.0,7.0,7.0
2020-10-23,4839.0,287.0,1576.0,38.0,1500.0,39.0,776.0,800.0,38.0,2.0,7.0,5.0,0.0,3.0,2.0,5.0,55.0,2.0,15.0,2.0,12.0,0.0,7.0,8.0
2020-10-24,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-25,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-26,4858.0,291.0,1611.0,54.0,1518.0,39.0,795.0,816.0,19.0,4.0,35.0,16.0,18.0,0.0,19.0,16.0,50.0,3.0,20.0,4.0,15.0,0.0,10.0,10.0
2020-10-27,4918.0,291.0,1612.0,55.0,1518.0,39.0,796.0,816.0,60.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,49.0,2.0,18.0,2.0,15.0,0.0,9.0,9.0
2020-10-28,4995.0,294.0,1648.0,83.0,1526.0,39.0,816.0,832.0,77.0,3.0,36.0,28.0,8.0,0.0,20.0,16.0,47.0,2.0,19.0,2.0,16.0,0.0,10.0,9.0
2020-10-29,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-30,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-31,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-01,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-02,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-03,5053.0,301.0,1666.0,19.0,1608.0,39.0,826.0,840.0,58.0,7.0,18.0,-64.0,82.0,0.0,10.0,8.0,46.0,3.0,18.0,-10.0,28.0,0.0,10.0,8.0
2020-11-04,5091.0,301.0,1674.0,27.0,1608.0,39.0,830.0,844.0,38.0,0.0,8.0,8.0,0.0,0.0,4.0,4.0,45.0,3.0,18.0,1.0,16.0,0.0,9.0,8.0
2020-11-05,5202.0,301.0,1689.0,42.0,1608.0,39.0,839.0,850.0,111.0,0.0,15.0,15.0,0.0,0.0,9.0,6.0,57.0,2.0,17.0,1.0,15.0,0.0,9.0,8.0
2020-11-06,5258.0,301.0,1714.0,67.0,1608.0,39.0,853.0,861.0,56.0,0.0,25.0,25.0,0.0,0.0,14.0,11.0,60.0,2.0,20.0,4.0,15.0,0.0,11.0,9.0
2020-11-07,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-08,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-09,5305.0,307.0,1732.0,69.0,1623.0,40.0,857.0,875.0,47.0,6.0,18.0,2.0,15.0,1.0,4.0,14.0,64.0,2.0,17.0,2.0,15.0,0.0,9.0,8.0
2020-11-10,5414.0,310.0,1764.0,101.0,1623.0,40.0,870.0,894.0,109.0,3.0,32.0,32.0,0.0,0.0,13.0,19.0,71.0,3.0,22.0,7.0,15.0,0.0,11.0,11.0
2020-11-11,5440.0,310.0,1836.0,107.0,1689.0,40.0,878.0,958.0,26.0,0.0,72.0,6.0,66.0,0.0,8.0,64.0,64.0,2.0,27.0,3.0,23.0,0.0,9.0,18.0
2020-11-12,5469.0,310.0,1851.0,122.0,1689.0,40.0,883.0,968.0,29.0,0.0,15.0,15.0,0.0,0.0,5.0,10.0,59.0,1.0,26.0,15.0,12.0,0.0,8.0,18.0
2020-11-13,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-14,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-15,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-16,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-17,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-18,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-19,5774.0,314.0,1991.0,17.0,1934.0,40.0,939.0,1052.0,305.0,4.0,140.0,-105.0,245.0,0.0,56.0,84.0,98.0,2.0,45.0,-1.0,47.0,0.0,16.0,30.0
2020-11-20,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-21,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-22,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-23,5853.0,325.0,2042.0,65.0,1935.0,42.0,962.0,1080.0,79.0,11.0,51.0,48.0,1.0,2.0,23.0,28.0,93.0,3.0,50.0,3.0,47.0,0.0,18.0,33.0
2020-11-24,5931.0,327.0,2054.0,76.0,1935.0,43.0,969.0,1085.0,78.0,2.0,12.0,11.0,0.0,1.0,7.0,5.0,96.0,4.0,49.0,1.0,47.0,1.0,17.0,32.0
2020-11-25,5978.0,332.0,2103.0,124.0,1935.0,44.0,988.0,1115.0,47.0,5.0,49.0,48.0,0.0,1.0,19.0,30.0,96.0,4.0,53.0,8.0,45.0,1.0,19.0,34.0
2020-11-26,6070.0,332.0,2111.0,14.0,2053.0,44.0,992.0,1119.0,92.0,0.0,8.0,-110.0,118.0,0.0,4.0,4.0,94.0,3.0,50.0,-12.0,61.0,1.0,17.0,32.0
2020-11-27,6142.0,334.0,2119.0,21.0,2054.0,44.0,996.0,1123.0,72.0,2.0,8.0,7.0,1.0,0.0,4.0,4.0,100.0,3.0,40.0,-12.0,52.0,1.0,17.0,24.0
2020-11-28,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-29,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-30,6142.0,337.0,2139.0,41.0,2054.0,44.0,1008.0,1131.0,0.0,3.0,20.0,20.0,0.0,0.0,12.0,8.0,96.0,4.0,41.0,-12.0,52.0,1.0,18.0,23.0
2020-12-01,6157.0,337.0,2148.0,48.0,2055.0,45.0,1011.0,1137.0,15.0,0.0,9.0,7.0,1.0,1.0,3.0,6.0,55.0,3.0,22.0,4.0,17.0,1.0,10.0,12.0
