datetime,mild,sars,positive,underobs,recovered,deaths,masc,fem,mild_s,sars_s,positive_s,underobs_s,recovered_s,deaths_s,masc_s,fem_s,mild_m,sars_m,positive_m,underobs_m,recovered_m,deaths_m,masc_m,fem_m
2020-08-12,2921,206,791,386,382,23,363,428,,,,,,,,,,,,,,,,
2020-08-13,2966,208,814,401,390,23,378,436,45.0,2.0,23.0,15.0,8.0,0.0,15.0,8.0,,,,,,,,
2020-08-14,3023,210,835,422,390,23,390,436,57.0,2.0,21.0,21.0,0.0,0.0,12.0,0.0,,,,,,,,
2020-08-15,3030,210,841,428,390,23,393,438,7.0,0.0,6.0,6.0,0.0,0.0,3.0,2.0,,,,,,,,
2020-08-16,3030,210,842,428,390,24,394,438,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,
2020-08-17,3071,211,866,450,390,25,404,454,41.0,1.0,24.0,22.0,0.0,1.0,10.0,16.0,,,,,,,,
2020-08-18,3112,213,890,473,390,26,415,471,41.0,2.0,24.0,23.0,0.0,1.0,11.0,17.0,,,,,,,,
2020-08-19,3154,215,914,496,390,28,426,488,42.0,2.0,24.0,23.0,0.0,2.0,11.0,17.0,33.0,1.0,18.0,16.0,1.0,1.0,9.0,9.0
2020-08-20,3237,217,917,95,794,28,428,489,83.0,2.0,3.0,-401.0,404.0,0.0,2.0,1.0,39.0,1.0,15.0,-44.0,58.0,1.0,7.0,8.0
2020-08-21,3263,219,934,111,794,28,437,497,26.0,2.0,17.0,16.0,0.0,0.0,9.0,8.0,34.0,1.0,14.0,-44.0,58.0,1.0,7.0,9.0
2020-08-22,3290,221,951,128,794,29,446,505,27.0,2.0,17.0,17.0,0.0,1.0,9.0,8.0,37.0,2.0,16.0,-43.0,58.0,1.0,8.0,10.0
2020-08-23,3316,223,968,145,794,29,455,513,26.0,2.0,17.0,17.0,0.0,0.0,9.0,8.0,41.0,2.0,18.0,-40.0,58.0,1.0,9.0,11.0
2020-08-24,3343,225,986,162,794,30,465,521,27.0,2.0,18.0,17.0,0.0,1.0,10.0,8.0,39.0,2.0,17.0,-41.0,58.0,1.0,9.0,10.0
2020-08-25,3432,226,1016,156,830,30,483,533,89.0,1.0,30.0,-6.0,36.0,0.0,18.0,12.0,46.0,2.0,18.0,-45.0,63.0,1.0,10.0,9.0
